transaction_id,transaction_date,transaction_time,store_id,customer_id,product_id,quantity,unit_price,discount_pct,total_amount,payment_method
TXN0002943,2025-11-15,18:48:12,NS015,C00107,P0014,4,899,0,3596.0,Debit Card
TXN0003876,2025-12-19,14:09:04,NS014,C00508,P0019,2,799,5,1518.1,Credit Card
TXN0005950,03/09/2025,09:01:09,NS004,C00220,P0021,3,599,0,1797.0,UPI
TXN0001340,2025-04-07,09:07:17,NS015,C00064,P0042,1,299,10,269.1,UPI
TXN0001637,2025-08-28,14:04:28,NS002,C00028,P0030,1,399,0,399.0,Wallet
TXN0000543,07/24/2025,19:18:17,NS001,C00417,P0014,1,899,15,764.15,
TXN0002484,31/03/2025,17:44:14,NS006,C00468,P0013,1,1299,0,1299.0,UPI
TXN0004027,04/26/2025,14:39:22,NS015,C00109,P0021,1,599,15,509.15,Debit Card
TXN0002667,11/03/2025,11:57:25,NS011,C00073,P0046,3,199,15,507.45,
TXN0003040,12/05/2025,11:53:08,NS010,C00150,P0016,3,999,0,2997.0,Credit Card
TXN0003261,09/08/2025,14:43:42,NS010,C00535,P0010,3,599,0,1797.0,Debit Card
TXN0002362,2025-10-02,16:06:21,NS014,C00421,P0037,1,699,0,699.0,Cash
TXN0003913,2025-06-07,16:56:00,NS001,C00329,P0015,3,1799,10,4857.3,Wallet
TXN0002453,04/09/2025,21:21:18,NS012,C00194,P0013,1,1299,10,1169.1,Wallet
TXN0003673,2025-07-31,12:42:55,NS010,C00373,P0050,2,1499,20,2398.4,Credit Card
TXN0004281,14/04/2025,09:19:21,NS001,C00235,P0001,3 pcs,2499,0,7497.0,Credit Card
TXN0001081,2025-01-25,20:21:37,NS004,C00276,P0003,1,4999,10,4499.1,UPI
TXN0004989,2025-12-03,15:31:20,NS009,C00015,P0025,3,49,0,147.0,UPI
TXN0003279,25/08/2025,10:13:55,NS003,C00007,P0019,3,799,5,2277.15,Wallet
TXN0004963,19-06-2025,10:08:38,NS011,C00534,P0003,3 pcs,4999,0,14997.0,Cash
TXN0000611,2025-07-01,16:07:53,NS007,C00027,P0029,3,199,0,597.0,Debit Card
TXN0003519,2025-08-19,12:04:25,NS005,C00006,P0038,3,149,10,402.3,Credit Card
TXN0001606,2025-07-27,21:01:22,NS014,C00101,P0007,1,799,0,799.0,Cash
TXN0001624,23-10-2025,14:44:47,NS015,C00146,P0006,2,399,0,798.0,Cash
TXN0002118,02-01-2025,20:14:04,NS014,C00091,P0003,2,4999,0,9998.0,UPI
TXN0003302,07-11-2025,19:50:39,NS006,C00131,P0001,1,2499,20,1999.2,UPI
TXN0005469,01/03/2025,18:52:24,NS001,C00369,P0025,4,49,0,196.0,Cash
TXN0001687,03/20/2025,17:34:15,NS012,C00261,P0041,3,249,10,672.3,Wallet
TXN0003165,07-11-2025,12:15:06,NS015,C00017,P0035,3,449,15,1144.95,UPI
TXN0004623,28/12/2025,16:33:27,NS001,C00078,P0023,1 pcs,159,0,159.0,UPI
TXN0002932,2025-08-24,16:16:00,NS008,C00019,P0015,4,1799,15,6116.6,
TXN0001405,15-04-2025,12:01:14,NS004,C00260,P0027,2,249,20,398.4,Cash
TXN0001098,2025-03-06,11:56:53,NS011,C00008,P0041,2,249,0,498.0,Cash
TXN0005627,06/10/2025,09:31:49,NS007,C00447,P0023,2,159,20,254.4,Debit Card
TXN0005070,11/04/2025,17:18:32,NS014,C00216,P0021,3,599,15,1527.45,Cash
TXN0002369,07/07/2025,14:35:01,NS014,C00353,P0032,3,799,5,2277.15,Debit Card
TXN0003724,2025-01-29,16:55:47,NS013,C00057,P0020,3,3999,0,11997.0,Cash
TXN0006277,2025-12-24,10:45:02,NS009,C00128,P0008,3,3499,0,10497.0,UPI
TXN0003229,13/08/2025,17:14:08,NS014,C00149,P0044,2 pcs,279,0,558.0,UPI
TXN0000877,05/12/2025,20:46:40,NS005,C00148,P0010,1,599,0,599.0,Wallet
TXN0000744,2025-08-07,14:47:15,NS009,C00008,P0042,3,299,5,852.15,Credit Card
TXN0002516,19/01/2025,18:58:35,NS014,C00214,P0037,4,699,15,2376.6,Debit Card
TXN0002407,2025-07-20,09:29:17,NS003,C00121,P0022,2,189,0,378.0,Wallet
TXN0003218,2025-08-11,18:34:55,NS009,C00139,P0025,2,49,15,83.3,UPI
TXN0003293,2025-07-02,15:06:21,NS002,C00284,P0013,2,1299,20,2078.4,Credit Card
TXN0006351,2025-05-23,16:06:19,NS014,C00223,P0003,2,4999,5,9498.1,Credit Card
TXN0004850,07/04/2025,09:16:39,NS015,C00507,P0023,2,159,5,302.1,Credit Card
TXN0006003,2025-01-26,14:44:20,NS008,C00289,P0031,3,1299,5,3702.15,Wallet
TXN0002591,2025-01-22,12:02:47,NS009,C00150,P0037,1,699,5,664.05,Wallet
TXN0005968,25/11/2025,09:08:20,NS010,C00203,P0032,3,799,10,2157.3,Wallet
TXN0004781,2025-12-14,11:42:16,NS014,C00373,P0034,5,299,0,1495.0,Debit Card
TXN0005276,25/12/2025,20:51:54,NS007,C00346,P0049,3,199,0,597.0,Debit Card
TXN0004616,2025-11-08,10:01:24,NS015,C00438,P0021,5,599,20,2396.0,Wallet
TXN0002471,14/05/2025,09:14:26,NS013,C00237,P0004,3,1499,0,4497.0,Credit Card
TXN0000519,2025-09-20,13:56:38,NS012,C00204,P0037,2,699,0,1398.0,Credit Card
TXN0002901,09/12/2025,12:05:45,NS003,C00331,P0010,2,599,0,1198.0,
TXN0000899,03/05/2025,15:26:07,NS015,C00310,P0046,2,199,20,318.4,Cash
TXN0001021,25/01/2025,18:37:45,NS002,C00297,P0019,5,799,0,3995.0,Cash
TXN0003116,2025-09-28,17:56:40,NS002,C00104,P0006,3,399,20,957.6,Cash
TXN0000330,2025-05-26,15:02:57,NS009,C00041,P0022,3,189,0,567.0,Cash
TXN0004954,05-06-2025,18:32:53,NS014,C00184,P0031,1,1299,5,1234.05,Credit Card
TXN0005130,2025-06-17,20:57:24,NS015,C00333,P0014,1,899,0,899.0,Credit Card
TXN0003569,2025-01-22,11:47:25,NS015,C00156,P0033,1,999,0,999.0,
TXN0002969,2025-09-26,13:51:49,NS001,C00487,P0015,2,1799,0,3598.0,Cash
TXN0003601,2025-11-24,11:50:34,NS011,C00289,P0001,2,2499,0,4998.0,Wallet
TXN0005897,12/10/2025,10:02:01,NS005,C00184,P0017,4,1199,0,4796.0,Cash
TXN0003309,08-01-2025,20:38:13,NS012,C00253,P0012,3,1499,0,4497.0,Wallet
TXN0005791,13/09/2025,20:49:05,NS001,C00022,P0002,2,3299,0,6598.0,Cash
TXN0005573,2025-02-25,15:15:35,NS003,C00186,P0018,2,2499,0,4998.0,
TXN0003234,02-09-2025,13:43:40,NS006,C00366,P0011,3,599,0,1797.0,Debit Card
TXN0000781,2025-01-15,19:42:32,NS013,C00416,P0014,1,899,0,899.0,Cash
TXN0000284,11/14/2025,09:47:50,NS004,C00009,P0010,1,599,5,569.05,Debit Card
TXN0001902,02/09/2025,19:56:47,NS004,C00529,P0018,3,2499,5,7122.15,Credit Card
TXN0001323,10/03/2025,13:29:11,NS015,C00375,P0043,1,349,10,314.1,Wallet
TXN0002721,17/05/2025,14:52:55,NS013,C00378,P0031,2,1299,10,2338.2,Debit Card
TXN0004586,21-04-2025,09:49:33,NS007,C00235,P0014,1,899,10,809.1,Cash
TXN0002709,2025-08-03,10:51:51,NS002,C00134,P0041,1,249,0,249.0,Wallet
TXN0006380,2025-10-15,14:04:48,NS005,C00410,P0038,1,149,10,134.1,Wallet
TXN0005014,12-05-2025,16:07:26,NS005,C00336,P0017,2,1199,5,2278.1,Credit Card
TXN0001027,2025-08-31,19:07:29,NS013,C00428,P0002,4,3299,0,13196.0,UPI
TXN0001433,2025-07-13,19:16:39,NS009,C00028,P0042,5,299,10,1345.5,Cash
TXN0002414,14/02/2025,14:32:40,NS010,C00494,P0037,3,699,0,2097.0,UPI
TXN0006336,2025-03-31,21:28:51,NS015,C00194,P0003,1,4999,0,4999.0,Credit Card
TXN0003751,2025-07-06,16:41:33,NS009,C00359,P0034,4,299,5,1136.2,Wallet
TXN0006293,2025-03-18,20:13:05,NS008,C00501,P0049,3,199,0,597.0,Cash
TXN0005216,26/02/2025,16:41:06,NS011,C00307,P0023,1,159,5,151.05,Wallet
TXN0000155,09/07/2025,14:20:52,NS004,C00370,P0043,2,349,15,593.3,Wallet
TXN0002861,2025-01-21,20:20:03,NS003,C00246,P0003,3,4999,15,12747.45,Credit Card
TXN0005776,2025-07-23,19:04:48,NS015,C00257,P0029,3,199,15,507.45,Cash
TXN0005143,2025-07-26,12:59:13,NS015,C00297,P0012,5,1499,10,6745.5,Cash
TXN0000453,2025-08-10,20:50:33,NS006,C00195,P0036,1,349,0,349.0,UPI
TXN0005827,17/06/2025,13:09:10,NS006,C00190,P0030,2,399,15,678.3,Wallet
TXN0003322,2025-11-03,09:45:17,NS014,C00258,P0013,2,1299,5,2468.1,UPI
TXN0006050,2025-11-03,19:51:29,NS013,C00496,P0040,1,599,10,539.1,UPI
TXN0005957,2025-11-05,17:42:02,NS012,C00283,P0040,1,599,5,569.05,UPI
TXN0004508,03/01/2025,18:01:00,NS005,C00375,P0042,5,299,0,1495.0,Debit Card
TXN0005850,29/07/2025,21:13:56,NS002,C00454,P0009,1,2199,0,2199.0,Credit Card
TXN0003316,2025-05-17,20:03:53,NS003,C00071,P0023,1,159,0,159.0,UPI
TXN0003859,07-07-2025,16:28:18,NS002,C00309,P0038,1,149,10,134.1,Debit Card
TXN0001519,23-12-2025,17:31:13,NS007,C00412,P0009,2,2199,0,4398.0,UPI
TXN0002565,10/04/2025,15:47:37,NS003,C00371,P0021,2,599,0,1198.0,Credit Card
TXN0002318,2025-11-09,13:21:11,NS015,C00046,P0022,5,189,0,945.0,UPI
TXN0005905,2025-07-15,12:54:33,NS013,C00486,P0004,3,1499,10,4047.3,Debit Card
TXN0002128,06/15/2025,16:24:18,NS001,C00193,P0036,3,349,0,1047.0,Credit Card
TXN0005368,29/12/2025,18:29:59,NS009,C00091,P0043,3,349,5,994.65,Cash
TXN0006345,25-09-2025,09:02:17,NS013,C00459,P0010,1,599,0,599.0,Wallet
TXN0002373,08/09/2025,21:52:44,NS004,C00298,P0008,3 pcs,3499,10,9447.3,Credit Card
TXN0004221,15/04/2025,14:14:15,NS004,C00372,P0002,1,3299,15,2804.15,UPI
TXN0002502,2025-09-18,17:46:22,NS002,C00362,P0027,3,249,0,747.0,Credit Card
TXN0005030,2025-04-24,11:29:31,NS004,C00142,P0049,1,199,15,169.15,Credit Card
TXN0000494,2025-12-31,15:35:28,NS008,C00257,P0044,1,279,15,237.15,Credit Card
TXN0005290,2025-11-24,11:56:20,NS011,C00222,P0020,3,3999,10,10797.3,UPI
TXN0002669,2025-06-21,20:25:34,NS009,C00011,P0013,1,1299,15,1104.15,Debit Card
TXN0002259,2025-05-23,09:41:21,NS013,C00419,P0027,3,249,0,747.0,Debit Card
TXN0006291,20-11-2025,19:55:25,NS015,C00283,P0040,1,599,0,599.0,Credit Card
TXN0004828,2025-02-27,12:34:54,NS012,C00279,P0004,1,1499,20,1199.2,UPI
TXN0000394,2025-06-30,17:54:08,NS013,C00069,P0029,2,199,15,338.3,Cash
TXN0002689,14/01/2025,18:35:27,NS004,C00188,P0017,2,1199,0,2398.0,Credit Card
TXN0001253,06/29/2025,19:44:48,NS001,C00094,P0008,5,3499,10,15745.5,Cash
TXN0005275,14/01/2025,10:29:18,NS012,C00284,P0009,2,2199,0,4398.0,Wallet
TXN0001805,06-09-2025,15:08:55,NS007,C00185,P0016,3,999,15,2547.45,Cash
TXN0001100,2025-08-26,17:10:49,NS008,C00414,P0034,3,299,0,897.0,Debit Card
TXN0002760,15/05/2025,15:01:31,NS002,C00263,P0034,2,299,15,508.3,Credit Card
TXN0004213,2025-06-07,12:55:08,NS008,C00323,P0034,5,299,0,1495.0,Cash
TXN0005613,2025-05-29,19:04:30,NS010,C00075,P0038,2,149,5,283.1,Credit Card
TXN0002126,25/11/2025,20:34:38,NS001,C00475,P0019,3,799,0,2397.0,Credit Card
TXN0001355,2025-11-08,11:22:35,NS011,C00158,P0046,2,199,0,398.0,Credit Card
TXN0003440,2025-12-04,14:49:10,NS014,C00162,P0031,3,1299,0,3897.0,Wallet
TXN0003448,05/02/2025,16:33:31,NS004,C00460,P0010,3,599,0,1797.0,Debit Card
TXN0006235,2025-04-05,11:55:57,NS012,C00095,P0032,5,799,0,3995.0,Cash
TXN0004635,14/02/2025,13:01:57,NS012,C00062,P0004,3,1499,0,4497.0,Credit Card
TXN0004677,2025-11-15,13:31:27,NS002,C00446,P0036,1,349,15,296.65,Wallet
TXN0002262,2025-03-08,19:54:15,NS009,C00332,P0046,4,199,15,676.6,UPI
TXN0003011,20/08/2025,16:17:23,NS010,C00185,P0024,2,449,0,898.0,UPI
TXN0000271,2025-10-05,12:38:00,NS013,C00317,P0013,5,1299,0,6495.0,Cash
TXN0005036,2025-02-02,13:45:46,NS003,C00321,P0020,1,3999,10,3599.1,Wallet
TXN0004810,2025-02-23,10:02:42,NS003,C00375,P0035,2,449,10,808.2,Cash
TXN0002962,21-07-2025,21:16:47,NS006,C00531,P0029,3,199,15,507.45,Debit Card
TXN0004408,29-09-2025,19:55:29,NS007,C00440,P0015,2,1799,0,3598.0,Cash
TXN0003915,02/04/2025,20:14:33,NS006,C00060,P0009,3,2199,5,6267.15,Debit Card
TXN0001880,06/05/2025,12:10:57,NS007,C00032,P0048,3,399,10,1077.3,Wallet
TXN0004717,2025-03-12,12:08:35,NS005,C00145,P0017,3,1199,20,2877.6,UPI
TXN0006514,2025-01-30,12:00:00,NS014,C00476,P9308,3,515,0,3252,Cash
TXN0002182,2025-11-17,20:46:09,NS004,C00435,P0035,3,449,0,1347.0,Cash
TXN0001693,2025-09-18,16:08:42,NS010,C00173,P0024,2,449,0,898.0,Credit Card
TXN0006127,2025-01-07,17:02:37,NS006,C00161,P0042,2,299,0,598.0,Wallet
TXN0001492,2025-10-25,21:36:29,NS004,C00267,P0019,5,799,0,3995.0,Cash
TXN0005098,18-09-2025,16:45:57,NS011,C00479,P0034,3,299,5,852.15,Credit Card
TXN0004402,11-08-2025,21:45:05,NS007,C00216,P0034,1,299,10,269.1,Cash
TXN0002893,2025-05-13,13:05:19,NS003,C00017,P0019,3,799,10,2157.3,Debit Card
TXN0001069,13/06/2025,12:31:47,NS001,C00326,P0044,3,279,0,837.0,Debit Card
TXN0004384,01/05/2025,18:30:05,NS015,C00001,P0008,1,3499,0,3499.0,Cash
TXN0002854,05/07/2025,13:05:30,NS007,C00060,P0040,1,599,0,599.0,Debit Card
TXN0000574,23/05/2025,20:50:07,NS011,C00202,P0023,2,159,20,254.4,Wallet
TXN0006350,2025-09-12,18:32:13,NS002,C00527,P0008,3,3499,0,10497.0,UPI
TXN0003503,2025-03-19,18:18:50,NS009,C00074,P0033,2,999,0,1998.0,Wallet
TXN0001166,2025-12-08,11:53:12,NS007,C00088,P0020,3,3999,15,10197.45,Cash
TXN0005060,2025-07-01,12:44:57,NS001,C00451,P0048,1,399,20,319.2,Cash
TXN0001149,04-05-2025,20:54:30,NS001,C00033,P0004,3,1499,15,3822.45,Debit Card
TXN0005061,28/11/2025,17:18:43,NS006,C00278,P0020,1,3999,0,3999.0,Cash
TXN0006468,11-06-2025,12:49:53,NS011,C00138,P0023,2,159,20,254.4,UPI
TXN0002820,03/11/2025,17:06:28,NS010,C00278,P0032,2,799,10,1438.2,Cash
TXN0005762,03/07/2025,14:39:15,NS015,C00121,P0043,1,349,0,349.0,Debit Card
TXN0003760,2025-07-29,19:47:55,NS008,C00106,P0009,1,2199,0,2199.0,UPI
TXN0006158,2025-01-22,19:44:43,NS007,C00356,P0011,3,599,10,1617.3,UPI
TXN0004432,31/12/2025,14:00:40,NS001,C00363,P0029,2,199,10,358.2,Wallet
TXN0003150,2025-05-21,12:22:57,NS015,C00468,P0050,3,1499,0,4497.0,Cash
TXN0006046,2025-07-27,12:51:11,NS009,C00513,P0024,5,449,5,2132.75,Debit Card
TXN0004303,10/02/2025,21:32:58,NS012,C00197,P0029,2,199,5,378.1,Wallet
TXN0002675,2025-04-26,17:37:23,NS012,C00454,P0039,4,179,20,572.8,UPI
TXN0000578,01/21/2025,13:35:17,NS002,C00195,P0047,1,449,0,449.0,Wallet
TXN0003251,25-12-2025,14:21:43,NS009,C00347,P0001,3,2499,10,6747.3,Wallet
TXN0004571,2025-11-09,18:08:20,NS013,C00236,P0016,4,999,0,3996.0,Cash
TXN0001704,2025-01-29,15:55:08,NS007,C00289,P0014,3,899,10,2427.3,Cash
TXN0001185,17/06/2025,15:40:24,NS005,C00433,P0040,3,599,0,1797.0,Wallet
TXN0000300,11/10/2025,17:27:24,NS005,C00448,P0041,3,249,0,747.0,Cash
TXN0003909,04/01/2025,21:38:13,NS008,C00070,P0024,1,449,0,449.0,Cash
TXN0004864,2025-02-06,14:39:04,NS005,C00329,P0001,3,2499,0,7497.0,Wallet
TXN0000172,2025-06-20,20:13:54,NS012,C00231,P0045,3,499,0,1497.0,UPI
TXN0004680,01/01/2025,16:16:12,NS003,C00105,P0048,1,399,0,399.0,Credit Card
TXN0004974,2025-02-25,10:22:24,NS014,C00352,P0016,3,999,10,2697.3,UPI
TXN0003472,2025-12-20,10:29:30,NS015,C00034,P0041,4,249,0,996.0,Credit Card
TXN0001982,10/17/2025,10:31:53,NS015,C00103,P0014,3 pcs,899,15,2292.45,Cash
TXN0005114,2025-04-22,13:52:40,NS003,C00319,P0005,2,1899,20,3038.4,Cash
TXN0004201,24-02-2025,12:26:41,NS004,C00013,P0024,2,449,10,808.2,Debit Card
TXN0006363,08/23/2025,11:51:31,NS011,C00214,P0005,5,1899,20,7596.0,Cash
TXN0002777,28/03/2025,16:25:02,NS002,C00267,P0023,3,159,5,453.15,Cash
TXN0006497,01/10/2025,17:44:28,NS014,C00474,P0010,1,599,15,509.15,Wallet
TXN0001123,07-11-2025,19:05:07,NS002,C00392,P0026,1,299,0,299.0,UPI
TXN0006233,03/03/2025,17:19:37,NS008,C00301,P0005,2,1899,0,3798.0,UPI
TXN0000626,10/09/2025,18:12:08,NS004,C00528,P0009,1,2199,0,2199.0,Cash
TXN0005554,26/08/2025,21:36:53,NS009,C00254,P0022,3,189,5,538.65,UPI
TXN0004093,30/11/2025,21:52:00,NS015,C00323,P0012,2,1499,10,2698.2,Wallet
TXN0006395,11/05/2025,15:24:44,NS007,C00132,P0039,1,179,0,179.0,Debit Card
TXN0003201,2025-12-19,14:06:32,NS013,C00128,P0011,2 pcs,599,10,1078.2,Wallet
TXN0001745,27/11/2025,21:48:57,NS015,C00054,P0007,2,799,5,1518.1,Wallet
TXN0006160,2025-04-04,11:55:47,NS001,C00019,P0050,2,1499,10,2698.2,Wallet
TXN0004126,11/06/2025,18:20:10,NS008,C00291,P0029,3,199,20,477.6,Cash
TXN0006040,16/01/2025,10:10:16,NS006,C00412,P0012,3,1499,0,4497.0,UPI
TXN0003285,2025-10-28,14:56:20,NS015,C00190,P0005,2,1899,10,3418.2,Cash
TXN0004188,10/01/2025,14:22:34,NS003,C00140,P0027,1,249,0,249.0,Cash
TXN0001956,2025-08-02,10:17:30,NS013,C00379,P0015,2,1799,15,3058.3,Wallet
TXN0003886,17/06/2025,17:36:44,NS008,C00276,P0042,1,299,10,269.1,
TXN0003124,2025-03-26,10:31:21,NS007,C00069,P0025,3,49,0,147.0,Wallet
TXN0003284,25-07-2025,16:25:02,NS009,C00362,P0009,1,2199,10,1979.1,
TXN0000630,2025-04-04,19:02:53,NS013,C00244,P0011,2,599,10,1078.2,Cash
TXN0000673,30/04/2025,17:26:09,NS013,C00323,P0001,3,2499,0,7497.0,Credit Card
TXN0004940,2025-12-13,21:06:11,NS005,C00487,P0009,2,2199,0,4398.0,Debit Card
TXN0002971,2025-06-10,21:47:56,NS003,C00418,P0024,3,449,0,1347.0,Wallet
TXN0000956,2025-04-27,17:01:44,NS002,C00106,P0037,2,699,0,1398.0,Debit Card
TXN0004840,2025-12-27,11:58:04,NS006,C00259,P0020,1,3999,15,3399.15,Debit Card
TXN0006066,11/28/2025,15:01:31,NS003,C00306,P0013,1,1299,15,1104.15,UPI
TXN0005340,2025-11-08,13:23:00,NS001,C00265,P0007,5,799,10,3595.5,Cash
TXN0001417,02/14/2025,10:33:29,NS009,C00043,P0016,3,999,10,2697.3,Wallet
TXN0004916,2025-03-16,16:49:38,NS007,C00246,P0016,5,999,20,3996.0,Wallet
TXN0003196,25-04-2025,09:29:15,NS003,C00316,P0025,3 pcs,49,15,124.95,Wallet
TXN0001541,2025-01-11,20:31:44,NS010,C00279,P0007,5,799,0,3995.0,UPI
TXN0003498,17/06/2025,13:21:00,NS004,C00206,P0044,2,279,0,558.0,UPI
TXN0006198,2025-08-25,17:33:30,NS014,C00184,P0034,2,299,20,478.4,Cash
