inventory_id,snapshot_date,store_id,product_id,opening_stock,units_sold,units_received,closing_stock
INV0000214,2025-01-01,NS007,P0032,85,8,48,125
INV0002973,2025-06-01,NS010,P0047,149,66,15,98
INV0001981,2025-04-01,NS012,P0019,157,94,57,120
INV0000255,2025-01-01,NS008,P0041,42,27,86,101
INV0001804,2025-04-01,NS007,P0020,59,6,98,151
INV0002113,2025-05-01,NS001,P0005,152,4,87,235
INV0003305,2025-07-01,NS005,P0035,175,76,93,192
INV0002755,2025-06-01,NS004,P0038,56,39,52,69
INV0004199,2025-08-01,NS015,P0036,35,0,46,81
INV0002625,2025-05-01,NS015,P0046,190,5,66,251
INV0002986,2025-06-01,NS011,P0039,154,69,39,124
INV0002968,2025-06-01,NS010,P0049,100,57,21,64
INV0006129,2025-12-01,NS011,P0017,82,23,,109
INV0000194,2025-01-01,NS006,P0042,67,15,98,150
INV0006237,2025-12-01,NS014,P0033,35,28,40,47
INV0001469,2025-03-01,NS012,P0037,75,52,72,95
INV0002313,2025-05-01,NS007,P0045,147,98,31,80
INV0001910,2025-04-01,NS010,P0010,79,32,15,62
INV0006014,2025-12-01,NS007,P0045,44,13,55,86
INV0003567,2025-07-01,NS012,P0008,122,9,34,147
INV0000273,2025-01-01,NS008,P0005,186,81,0,105
INV0002523,2025-05-01,NS013,P0036,137,78,42,101
INV0000838,2025-02-01,NS009,P0044,119,5,67,181
INV0000833,2025-02-01,NS009,P0049,28,15,14,27
INV0000274,2025-01-01,NS008,P0032,184,77,36,143
INV0002008,2025-04-01,NS013,P0050,49,1,39,87
INV0003623,2025-07-01,NS014,P0025,121,16,64,169
INV0005481,2025-11-01,NS007,P0015,181,136,64,109
INV0002069,2025-04-01,NS015,P0030,76,67,32,41
INV0000339,2025-01-01,NS010,P0038,181,127,,144
INV0004606,2025-09-01,NS012,P0002,62,23,49,88
INV0003507,2025-07-01,NS011,P0040,179,81,75,173
INV0000404,2025-01-01,NS012,P0023,83,71,20,32
INV0000398,2025-01-01,NS012,P0041,177,75,57,159
INV0002424,2025-05-01,NS010,P0018,96,12,5,89
INV0005209,2025-10-01,NS014,P0013,58,13,2,47
INV0002671,2025-06-01,NS002,P0019,183,63,45,165
INV0001010,2025-02-01,NS014,P0014,69,33,78,114
INV0001133,2025-03-01,NS003,P0034,194,39,25,180
INV0003169,2025-07-01,NS001,P0036,122,15,15,122
INV0005794,2025-12-01,NS001,P0003,27,18,26,35
INV0003460,2025-07-01,NS009,P0026,34,9,1,26
INV0002193,2025-05-01,NS003,P0001,25,15,83,93
INV0004875,2025-10-01,NS005,P0034,123,62,77,138
INV0003936,2025-08-01,NS008,P0037,113,13,100,200
INV0004549,2025-09-01,NS010,P0016,150,65,45,130
INV0005798,2025-12-01,NS001,P0008,189,79,59,169
INV0002231,2025-05-01,NS004,P0016,58,15,7,50
INV0002490,2025-05-01,NS012,P0023,124,77,4,51
INV0005543,2025-11-01,NS009,P0010,169,21,63,211
INV0001816,2025-04-01,NS007,P0009,140,58,99,181
INV0003954,2025-08-01,NS008,P0012,159,77,13,95
INV0005940,2025-12-01,NS005,P0006,104,95,71,80
INV0003145,2025-06-01,NS015,P0004,167,7,30,190
INV0000952,2025-02-01,NS013,P0046,83,71,8,20
INV0000289,2025-01-01,NS009,P0048,93,44,24,73
INV0004759,2025-10-01,NS001,P0048,87,73,71,85
INV0001220,2025-03-01,NS005,P0038,141,119,87,109
INV0002978,2025-06-01,NS011,P0038,102,10,76,168
INV0004649,2025-09-01,NS013,P0018,60,25,83,118
INV0002279,2025-05-01,NS006,P0029,62,39,75,98
INV0002342,2025-05-01,NS007,P0033,173,13,0,160
INV0003051,2025-06-01,NS013,P0024,119,40,82,161
INV0001285,2025-03-01,NS007,P0050,124,15,90,199
INV0004366,2025-09-01,NS005,P0025,198,10,58,246
INV0003632,2025-07-01,NS014,P0011,53,25,37,65
INV0004809,2025-10-01,NS003,P0028,174,3,8,179
INV0005534,2025-11-01,NS009,P0043,78,43,73,108
INV0005236,2025-10-01,NS015,P0015,167,153,81,95
INV0000889,2025-02-01,NS011,P0014,143,69,0,74
INV0002204,2025-05-01,NS003,P0038,56,41,72,87
INV0004282,2025-09-01,NS003,P0037,161,85,55,131
INV0004240,2025-09-01,NS002,P0035,172,6,42,208
INV0000593,2025-02-01,NS002,P0034,51,8,49,92
INV0005421,2025-11-01,NS005,P0035,200,108,90,182
INV0005833,2025-12-01,NS002,P0050,197,149,,127
INV0006028,2025-12-01,NS008,P0022,28,3,99,124
INV0001706,2025-04-01,NS004,P0020,135,18,40,157
INV0002441,2025-05-01,NS010,P0041,64,14,7,57
INV0000770,2025-02-01,NS007,P0012,100,72,75,103
INV0003061,2025-06-01,NS013,P0045,47,32,68,83
INV0003989,2025-08-01,NS009,P0029,81,34,25,72
INV0005951,2025-12-01,NS006,P0038,173,112,20,81
INV0004859,2025-10-01,NS004,P0025,176,63,35,148
INV0000828,2025-02-01,NS009,P0034,45,12,25,58
INV0005019,2025-10-01,NS009,P0007,108,97,67,78
INV0001146,2025-03-01,NS003,P0006,70,64,8,14
INV0004838,2025-10-01,NS004,P0034,104,71,34,67
INV0000657,2025-02-01,NS004,P0012,84,37,41,88
INV0001436,2025-03-01,NS012,P0022,35,27,79,87
INV0003467,2025-07-01,NS010,P0017,47,9,55,93
INV0004558,2025-09-01,NS011,P0043,68,38,26,56
INV0002198,2025-05-01,NS003,P0031,186,44,100,242
INV0004012,2025-08-01,NS010,P0050,59,47,29,41
INV0005735,2025-11-01,NS014,P0014,58,35,95,118
INV0000901,2025-02-01,NS011,P0003,96,85,66,77
INV0003174,2025-07-01,NS001,P0002,44,6,61,99
INV0005169,2025-10-01,NS013,P0014,148,140,19,27
INV0004025,2025-08-01,NS010,P0004,76,54,6,28
INV0000850,2025-02-01,NS010,P0022,108,26,13,95
INV0006282,2025-12-01,NS015,P0022,69,27,,139
INV0000313,2025-01-01,NS009,P0032,87,66,71,92
INV0000333,2025-01-01,NS010,P0013,102,45,19,76
INV0003698,2025-08-01,NS001,P0007,106,30,81,157
INV0005040,2025-10-01,NS009,P0034,120,64,35,91
INV0004598,2025-09-01,NS012,P0005,176,38,74,212
INV0002912,2025-06-01,NS009,P0015,156,65,26,117
INV0000629,2025-02-01,NS003,P0002,97,11,,140
INV0004720,2025-09-01,NS015,P0040,54,12,75,117
INV0001460,2025-03-01,NS012,P0032,137,114,30,53
INV0005259,2025-11-01,NS001,P0046,94,3,65,156
INV0006156,2025-12-01,NS011,P0019,77,55,60,82
INV0004402,2025-09-01,NS006,P0023,22,6,25,41
INV0000481,2025-01-01,NS014,P0035,178,110,64,132
INV0002202,2025-05-01,NS003,P0026,114,50,59,123
INV0001956,2025-04-01,NS011,P0021,91,42,84,133
INV0004754,2025-10-01,NS001,P0044,184,97,71,158
INV0004845,2025-10-01,NS004,P0006,57,9,70,118
INV0003571,2025-07-01,NS013,P0034,98,67,15,46
INV0004775,2025-10-01,NS002,P0042,172,45,35,162
INV0001288,2025-03-01,NS007,P0001,78,36,7,49
INV0005176,2025-10-01,NS013,P0021,92,5,28,115
INV0004011,2025-08-01,NS010,P0024,109,14,36,131
INV0000975,2025-02-01,NS013,P0031,157,2,22,177
INV0003653,2025-07-01,NS015,P0013,31,15,82,98
INV0003570,2025-07-01,NS012,P0049,35,8,75,102
INV0004740,2025-10-01,NS001,P0010,162,138,,43
INV0001615,2025-04-01,NS002,P0050,96,33,91,154
INV0002105,2025-05-01,NS001,P0050,198,26,61,233
INV0001779,2025-04-01,NS006,P0005,88,56,42,74
INV0000920,2025-02-01,NS012,P0021,181,168,94,107
INV0003919,2025-08-01,NS007,P0003,108,48,15,75
INV0003018,2025-06-01,NS012,P0036,48,9,27,66
INV0001168,2025-03-01,NS004,P0003,137,2,34,169
INV0001841,2025-04-01,NS008,P0004,141,136,,45
INV0000262,2025-01-01,NS008,P0006,71,1,70,140
INV0001647,2025-04-01,NS003,P0023,163,95,12,80
INV0005955,2025-12-01,NS006,P0013,25,3,0,22
INV0003040,2025-06-01,NS012,P0012,149,44,,166
INV0005488,2025-11-01,NS007,P0026,137,37,63,163
INV0001258,2025-03-01,NS006,P0036,34,13,63,84
INV0003412,2025-07-01,NS008,P0047,49,31,68,86
INV0005702,2025-11-01,NS013,P0024,49,44,98,103
INV0000066,2025-01-01,NS002,P0040,55,36,59,78
INV0001523,2025-03-01,NS014,P0029,37,9,81,109
INV0002243,2025-05-01,NS005,P0015,49,17,27,59
INV0004126,2025-08-01,NS013,P0032,118,62,,97
INV0003529,2025-07-01,NS011,P0003,107,28,9,88
INV0004963,2025-10-01,NS007,P0046,172,87,45,130
INV0003127,2025-06-01,NS015,P0032,108,6,89,191
INV0003330,2025-07-01,NS006,P0028,92,75,90,107
INV0001954,2025-04-01,NS011,P0034,98,23,22,97
INV0005413,2025-11-01,NS005,P0041,57,9,64,112
INV0002842,2025-06-01,NS007,P0016,89,78,59,70
INV0004067,2025-08-01,NS012,P0018,166,52,11,125
INV0001603,2025-04-01,NS001,P0002,78,46,60,92
INV0002552,2025-05-01,NS013,P0016,100,80,11,31
INV0006004,2025-12-01,NS007,P0036,31,23,81,89
INV0003432,2025-07-01,NS009,P0023,178,170,6,14
INV0001170,2025-03-01,NS004,P0015,60,49,48,59
INV0001916,2025-04-01,NS010,P0034,65,54,71,82
INV0001506,2025-03-01,NS014,P0038,104,57,11,58
INV0005519,2025-11-01,NS008,P0019,29,5,78,102
INV0000708,2025-02-01,NS006,P0037,99,78,77,98
INV0003246,2025-07-01,NS003,P0007,123,55,32,100
INV0004329,2025-09-01,NS004,P0029,125,120,91,96
INV0006272,2025-12-01,NS015,P0006,81,72,14,23
INV0002361,2025-05-01,NS008,P0003,24,4,35,55
INV0000801,2025-02-01,NS008,P0003,110,7,46,149
INV0004784,2025-10-01,NS002,P0035,87,63,34,58
INV0003612,2025-07-01,NS014,P0039,96,4,20,112
INV0002698,2025-06-01,NS003,P0036,163,150,15,28
INV0002043,2025-04-01,NS014,P0050,57,43,76,90
INV0001743,2025-04-01,NS005,P0018,67,5,37,99
INV0001122,2025-03-01,NS003,P0019,140,101,21,60
INV0004572,2025-09-01,NS011,P0009,77,36,24,65
INV0002287,2025-05-01,NS006,P0046,24,10,47,61
INV0000269,2025-01-01,NS008,P0023,118,45,98,171
INV0004797,2025-10-01,NS003,P0018,149,102,20,67
INV0001813,2025-04-01,NS007,P0046,113,90,29,52
INV0004933,2025-10-01,NS006,P0050,132,48,50,134
INV0005949,2025-12-01,NS005,P0019,109,61,3,51
INV0002108,2025-05-01,NS001,P0031,196,67,,190
INV0001176,2025-03-01,NS004,P0007,138,15,14,137
INV0001994,2025-04-01,NS012,P0011,197,148,22,71
INV0006257,2025-12-01,NS014,P0002,144,136,29,37
INV0000241,2025-01-01,NS007,P0048,119,30,93,182
INV0001721,2025-04-01,NS005,P0016,147,45,55,157
INV0001882,2025-04-01,NS009,P0050,75,48,96,123
INV0001544,2025-03-01,NS015,P0026,72,28,,143
INV0003458,2025-07-01,NS009,P0032,104,18,52,138
INV0002669,2025-06-01,NS002,P0013,169,13,10,166
INV0003339,2025-07-01,NS006,P0014,196,142,70,124
INV0002255,2025-05-01,NS005,P0035,57,39,60,78
INV0000736,2025-02-01,NS007,P0026,20,8,58,70
INV0004429,2025-09-01,NS007,P0035,58,22,93,129
INV0001019,2025-02-01,NS015,P0008,187,66,31,152
INV0003148,2025-06-01,NS015,P0023,142,34,3,111
INV0001261,2025-03-01,NS007,P0044,84,6,84,162
INV0001697,2025-04-01,NS004,P0044,41,32,73,82
INV0000042,2025-01-01,NS002,P0009,64,9,50,105
INV0004871,2025-10-01,NS005,P0009,98,46,46,98
INV0001354,2025-03-01,NS009,P0048,61,41,99,119
INV0003702,2025-08-01,NS001,P0044,120,91,53,82
INV0000335,2025-01-01,NS010,P0006,31,24,,13
INV0004081,2025-08-01,NS012,P0016,113,6,91,198
INV0004187,2025-08-01,NS015,P0021,172,48,,147
INV0005206,2025-10-01,NS014,P0046,192,22,55,225
INV0005541,2025-11-01,NS009,P0038,183,89,55,149
INV0005349,2025-11-01,NS003,P0048,46,5,16,57
INV0003180,2025-07-01,NS001,P0046,195,129,96,162
INV0004354,2025-09-01,NS005,P0039,145,33,85,197
INV0004886,2025-10-01,NS005,P0029,122,84,38,76
INV0000666,2025-02-01,NS005,P0044,42,16,18,44
INV0000354,2025-01-01,NS011,P0022,74,13,71,132
INV0005599,2025-11-01,NS010,P0031,45,39,4,10
INV0000085,2025-01-01,NS003,P0002,78,9,50,119
INV0004587,2025-09-01,NS012,P0022,197,163,0,34
INV0003806,2025-08-01,NS004,P0017,81,40,0,41
INV0001312,2025-03-01,NS008,P0014,58,11,37,84
INV0004943,2025-10-01,NS007,P0034,138,80,15,73
INV0001473,2025-03-01,NS013,P0043,176,63,9,122
INV0006073,2025-12-01,NS009,P0022,183,120,5,68
INV0001094,2025-03-01,NS002,P0044,90,0,55,145
INV0006243,2025-12-01,NS014,P0050,72,51,14,35
INV0004712,2025-09-01,NS015,P0023,182,117,80,145
INV0004773,2025-10-01,NS002,P0040,117,5,,211
INV0005852,2025-12-01,NS003,P0037,124,98,72,98
INV0000390,2025-01-01,NS012,P0043,118,110,83,91
INV0003108,2025-06-01,NS014,P0037,158,95,47,110
INV0001648,2025-04-01,NS003,P0029,116,65,64,115
INV0005947,2025-12-01,NS005,P0027,140,99,10,51
INV0004682,2025-09-01,NS014,P0042,58,29,68,97
INV0003438,2025-07-01,NS009,P0007,185,133,90,142
INV0004008,2025-08-01,NS010,P0027,69,23,78,124
INV0003707,2025-08-01,NS001,P0035,197,113,95,179
INV0001835,2025-04-01,NS008,P0022,93,44,77,126
INV0004900,2025-10-01,NS005,P0018,196,111,32,117
INV0001454,2025-03-01,NS012,P0018,81,44,44,81
INV0005319,2025-11-01,NS002,P0038,139,60,10,89
INV0001828,2025-04-01,NS008,P0020,121,40,70,151
INV0005352,2025-11-01,NS003,P0049,37,30,36,43
INV0001497,2025-03-01,NS013,P0010,88,11,45,122
INV0005245,2025-10-01,NS015,P0037,191,39,59,211
INV0002737,2025-06-01,NS004,P0020,191,160,40,71
INV0000962,2025-02-01,NS013,P0016,155,2,70,223
INV0001013,2025-02-01,NS014,P0012,78,64,77,91
INV0001373,2025-03-01,NS010,P0023,150,88,65,127
INV0003399,2025-07-01,NS008,P0034,142,118,51,75
INV0004130,2025-08-01,NS013,P0040,101,40,83,144
INV0005539,2025-11-01,NS009,P0048,37,12,9,34
INV0001745,2025-04-01,NS005,P0001,198,172,96,122
INV0001971,2025-04-01,NS012,P0038,57,6,,87
INV0000759,2025-02-01,NS007,P0011,171,37,14,148
INV0003637,2025-07-01,NS014,P0043,42,15,13,40
INV0005732,2025-11-01,NS014,P0039,180,136,23,67
INV0002311,2025-05-01,NS007,P0003,123,100,79,102
INV0001876,2025-04-01,NS009,P0037,123,98,87,112
INV0000361,2025-01-01,NS011,P0031,27,16,50,61
INV0000710,2025-02-01,NS006,P0042,166,129,20,57
INV0003997,2025-08-01,NS010,P0002,138,125,10,23
INV0000598,2025-02-01,NS003,P0015,33,19,49,63
INV0004661,2025-09-01,NS014,P0019,132,15,4,121
INV0004885,2025-10-01,NS005,P0043,187,51,56,192
INV0005899,2025-12-01,NS004,P0046,70,34,80,116
INV0000572,2025-02-01,NS002,P0018,183,21,91,253
INV0000364,2025-01-01,NS011,P0024,83,70,90,103
INV0003335,2025-07-01,NS006,P0033,33,5,19,47
INV0002640,2025-06-01,NS001,P0009,142,98,97,141
INV0000527,2025-02-01,NS001,P0032,74,25,40,89
INV0005718,2025-11-01,NS014,P0013,33,5,22,50
INV0003849,2025-08-01,NS005,P0027,147,24,39,162
INV0005981,2025-12-01,NS006,P0023,187,157,41,71
INV0002478,2025-05-01,NS011,P0009,45,11,42,76
INV0002790,2025-06-01,NS005,P0040,25,16,26,35
INV0004534,2025-09-01,NS010,P0003,28,23,52,57
INV0000330,2025-01-01,NS010,P0023,107,19,62,150
INV0006151,2025-12-01,NS011,P0041,61,27,52,86
INV0004985,2025-10-01,NS008,P0031,26,20,54,60
INV0003855,2025-08-01,NS006,P0004,97,20,84,161
INV0002457,2025-05-01,NS011,P0039,159,75,40,124
INV0000691,2025-02-01,NS005,P0009,183,29,68,222
INV0003469,2025-07-01,NS010,P0047,132,68,8,72
INV0002323,2025-05-01,NS007,P0001,21,14,14,21
INV0005000,2025-10-01,NS008,P0007,98,80,4,22
INV0001437,2025-03-01,NS012,P0029,22,12,13,23
INV0003678,2025-08-01,NS001,P0039,167,72,71,166
INV0001859,2025-04-01,NS009,P0049,112,69,88,131
INV0000197,2025-01-01,NS006,P0026,165,156,89,98
INV0002803,2025-06-01,NS006,P0043,185,25,11,171
INV0002820,2025-06-01,NS006,P0022,115,79,96,132
INV0004787,2025-10-01,NS002,P0043,127,65,54,116
INV0006068,2025-12-01,NS009,P0029,63,20,35,78
INV0000944,2025-02-01,NS012,P0017,82,75,54,61
INV0005025,2025-10-01,NS009,P0033,42,14,3,31
INV0002351,2025-05-01,NS008,P0046,22,14,38,46
INV0001035,2025-02-01,NS015,P0047,122,67,57,112
INV0003367,2025-07-01,NS007,P0035,187,53,87,221
INV0000462,2025-01-01,NS014,P0015,134,63,11,82
INV0005186,2025-10-01,NS014,P0012,142,128,14,28
INV0001199,2025-03-01,NS005,P0032,133,63,15,85
INV0000849,2025-02-01,NS010,P0030,97,68,100,129
INV0004531,2025-09-01,NS010,P0025,148,34,38,152
INV0000773,2025-02-01,NS008,P0041,142,19,55,178
INV0006024,2025-12-01,NS008,P0050,185,125,38,98
INV0001466,2025-03-01,NS012,P0027,139,13,63,189
INV0004830,2025-10-01,NS003,P0033,105,88,84,101
INV0004805,2025-10-01,NS003,P0015,131,38,41,134
INV0002983,2025-06-01,NS011,P0036,28,16,28,40
INV0006265,2025-12-01,NS014,P0014,194,106,5,93
INV0003811,2025-08-01,NS004,P0035,124,80,27,71
INV0004213,2025-09-01,NS001,P0005,183,112,74,145
INV0002910,2025-06-01,NS009,P0049,193,110,70,153
INV0004507,2025-09-01,NS009,P0047,28,1,93,120
INV0005027,2025-10-01,NS009,P0029,43,11,52,84
INV0000047,2025-01-01,NS002,P0002,21,16,5,10
INV0000295,2025-01-01,NS009,P0049,68,47,74,95
INV0005596,2025-11-01,NS010,P0030,140,114,36,62
INV0000614,2025-02-01,NS003,P0017,59,21,99,137
INV0003455,2025-07-01,NS009,P0015,52,16,52,88
INV0003708,2025-08-01,NS001,P0006,195,69,25,151
INV0004595,2025-09-01,NS012,P0042,69,41,24,52
INV0000131,2025-01-01,NS004,P0050,115,94,50,71
INV0003603,2025-07-01,NS013,P0038,25,10,50,65
INV0001677,2025-04-01,NS003,P0019,62,34,10,38
INV0004980,2025-10-01,NS008,P0014,184,150,,52
INV0002776,2025-06-01,NS005,P0028,54,12,35,77
INV0003284,2025-07-01,NS004,P0012,46,19,24,51
INV0005192,2025-10-01,NS014,P0017,86,4,10,92
INV0001200,2025-03-01,NS005,P0008,84,29,6,61
INV0001839,2025-04-01,NS008,P0001,128,21,85,192
INV0004434,2025-09-01,NS007,P0019,96,28,90,158
INV0000789,2025-02-01,NS008,P0025,147,86,12,73
INV0001366,2025-03-01,NS010,P0026,34,21,40,53
INV0003846,2025-08-01,NS005,P0038,145,77,23,91
INV0005591,2025-11-01,NS010,P0029,182,1,59,240
INV0004063,2025-08-01,NS012,P0013,64,13,99,150
INV0004442,2025-09-01,NS007,P0028,189,52,17,154
INV0002177,2025-05-01,NS003,P0025,173,11,46,208
INV0000413,2025-01-01,NS012,P0017,157,22,45,180
INV0000914,2025-02-01,NS012,P0031,123,26,20,117
INV0003264,2025-07-01,NS004,P0046,176,126,95,145
INV0004584,2025-09-01,NS011,P0050,146,52,22,116
INV0004119,2025-08-01,NS013,P0016,155,93,89,151
INV0005703,2025-11-01,NS013,P0031,98,41,48,105
INV0005047,2025-10-01,NS010,P0036,192,102,86,176
INV0003965,2025-08-01,NS009,P0014,27,19,47,55
INV0001182,2025-03-01,NS004,P0048,42,16,97,123
INV0005621,2025-11-01,NS011,P0046,92,45,21,68
INV0003661,2025-07-01,NS015,P0042,78,72,6,12
INV0002538,2025-05-01,NS013,P0021,114,106,82,90
INV0004406,2025-09-01,NS006,P0038,65,2,62,125
INV0002918,2025-06-01,NS009,P0048,139,38,53,154
INV0003120,2025-06-01,NS015,P0008,133,72,33,94
INV0000658,2025-02-01,NS004,P0002,39,3,13,49
INV0001808,2025-04-01,NS007,P0035,181,28,61,214
INV0003183,2025-07-01,NS001,P0022,147,80,97,164
INV0003149,2025-06-01,NS015,P0050,175,93,53,135
INV0001315,2025-03-01,NS008,P0049,50,20,11,41
INV0003373,2025-07-01,NS007,P0004,76,14,19,81
INV0001444,2025-03-01,NS012,P0014,23,16,23,30
INV0004602,2025-09-01,NS012,P0050,49,8,71,112
INV0003624,2025-07-01,NS014,P0015,122,89,32,65
INV0001554,2025-03-01,NS015,P0010,91,71,47,67
INV0002417,2025-05-01,NS010,P0003,57,25,26,58
INV0002309,2025-05-01,NS006,P0037,74,7,67,134
INV0004417,2025-09-01,NS007,P0029,89,13,12,88
INV0003824,2025-08-01,NS005,P0044,23,6,42,59
INV0003216,2025-07-01,NS002,P0019,62,2,,107
INV0001076,2025-03-01,NS001,P0026,173,154,23,42
INV0000719,2025-02-01,NS006,P0049,27,1,9,35
INV0004631,2025-09-01,NS013,P0043,87,53,66,100
INV0006047,2025-12-01,NS008,P0012,190,27,17,180
INV0004288,2025-09-01,NS003,P0038,104,10,,95
INV0001082,2025-03-01,NS001,P0033,200,72,79,207
INV0000615,2025-02-01,NS003,P0013,102,47,61,116
INV0000681,2025-02-01,NS005,P0010,176,39,42,179
INV0005540,2025-11-01,NS009,P0013,34,17,47,64
INV0001233,2025-03-01,NS006,P0042,59,9,35,85
INV0000819,2025-02-01,NS009,P0032,186,173,21,34
INV0004041,2025-08-01,NS011,P0035,184,109,17,92
INV0004137,2025-08-01,NS014,P0032,91,18,99,172
INV0002754,2025-06-01,NS004,P0040,183,58,26,151
INV0004827,2025-10-01,NS003,P0039,158,96,60,122
INV0005867,2025-12-01,NS003,P0026,125,83,34,76
INV0006039,2025-12-01,NS008,P0019,119,73,43,89
INV0005458,2025-11-01,NS006,P0016,25,11,2,16
INV0005738,2025-11-01,NS014,P0018,186,74,37,149
INV0000816,2025-02-01,NS009,P0023,105,60,80,125
INV0001095,2025-03-01,NS002,P0038,83,41,,54
INV0003315,2025-07-01,NS005,P0006,56,42,0,14
INV0005439,2025-11-01,NS006,P0037,110,83,21,48
INV0000090,2025-01-01,NS003,P0038,22,17,57,62
INV0001204,2025-03-01,NS005,P0005,75,54,77,98
INV0002609,2025-05-01,NS015,P0008,119,22,38,135
INV0001787,2025-04-01,NS007,P0029,157,18,76,215
INV0001294,2025-03-01,NS007,P0006,38,31,89,96
INV0006185,2025-12-01,NS012,P0006,197,60,6,143
INV0004524,2025-09-01,NS010,P0043,80,69,63,74
INV0002371,2025-05-01,NS008,P0018,59,42,81,98
INV0000132,2025-01-01,NS004,P0049,91,14,76,153
INV0002870,2025-06-01,NS007,P0035,183,40,40,183
INV0004796,2025-10-01,NS003,P0024,159,78,46,127
INV0004831,2025-10-01,NS004,P0042,198,70,14,142
INV0000977,2025-02-01,NS013,P0033,88,27,35,96
INV0002092,2025-04-01,NS015,P0011,90,60,80,110
INV0004082,2025-08-01,NS012,P0030,197,92,48,153
INV0000227,2025-01-01,NS007,P0015,173,57,69,185
INV0004861,2025-10-01,NS004,P0041,156,106,16,66
INV0001224,2025-03-01,NS005,P0024,190,105,40,125
INV0003256,2025-07-01,NS004,P0033,152,27,3,128
INV0003067,2025-06-01,NS013,P0002,94,70,88,112
INV0000455,2025-01-01,NS013,P0004,86,52,,115
INV0003095,2025-06-01,NS014,P0005,159,126,40,73
INV0002268,2025-05-01,NS005,P0046,66,61,54,59
INV0004435,2025-09-01,NS007,P0040,149,88,6,67
INV0001218,2025-03-01,NS005,P0014,158,18,,222
INV0001640,2025-04-01,NS002,P0007,117,55,73,135
INV0005523,2025-11-01,NS008,P0040,26,9,91,108
INV0004040,2025-08-01,NS011,P0034,44,3,40,81
INV0004961,2025-10-01,NS007,P0008,121,49,20,92
INV0003078,2025-06-01,NS013,P0005,86,47,79,118
INV0000776,2025-02-01,NS008,P0029,182,139,21,64
INV0005661,2025-11-01,NS012,P0008,114,84,81,111
INV0001811,2025-04-01,NS007,P0002,140,29,35,146
INV0003050,2025-06-01,NS013,P0018,111,57,33,87
INV0004032,2025-08-01,NS011,P0041,174,88,41,127
INV0004237,2025-09-01,NS002,P0021,85,71,,69
INV0001480,2025-03-01,NS013,P0041,85,25,78,138
INV0003344,2025-07-01,NS006,P0005,75,59,7,23
INV0000701,2025-02-01,NS006,P0021,63,55,20,28
INV0005675,2025-11-01,NS013,P0050,37,3,93,127
INV0004582,2025-09-01,NS011,P0018,115,73,66,108
INV0001591,2025-04-01,NS001,P0046,159,39,14,134
INV0001318,2025-03-01,NS008,P0011,162,148,,59
